Cruise	Station	Type	Year	Month	Day	Hour	Minute	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	QV:ODV:Bot Depth [m]	Secchi Depth [m]:METAVAR:FLOAT	QV:ODV:Secchi Depth [m]	Depth [m]	QV:ODV:Depth [m]	Pressure [dbar]	QV:ODV:Pressure [dbar]	Temperature [degC]	QV:ODV:Temperature [degC]	Practical Salinity [dmnless]	QV:ODV:Practical Salinity [dmnless]	Dissolved Oxygen [ml/l]	QV:ODV:Dissolved Oxygen [ml/l]	Phosphate Phosphorus (PO4-P) [umol/l]	QV:ODV:Phosphate Phosphorus (PO4-P) [umol/l]	Total Phosphorus (P) [umol/l]	QV:ODV:Total Phosphorus (P) [umol/l]	Silicate Silicon (SiO4-Si) [umol/l]	QV:ODV:Silicate Silicon (SiO4-Si) [umol/l]	Nitrate Nitrogen (NO3-N) [umol/l]	QV:ODV:Nitrate Nitrogen (NO3-N) [umol/l]	Nitrite Nitrogen (NO2-N) [umol/l]	QV:ODV:Nitrite Nitrogen (NO2-N) [umol/l]	Ammonium Nitrogen (NH4-N) [umol/l]	QV:ODV:Ammonium Nitrogen (NH4-N) [umol/l]	Total Nitrogen (N) [umol/l]	QV:ODV:Total Nitrogen (N) [umol/l]	Hydrogen Ion Concentration (pH) [pH]	QV:ODV:Hydrogen Ion Concentration (pH) [pH]	Alkalinity [mEq/l]	QV:ODV:Alkalinity [mEq/l]	Chlorophyll a [ug/l]	QV:ODV:Chlorophyll a [ug/l]
2699	0049	*	1923	4	16			12.75	55.87	34	0		1	0	0		1	4.2	0	19.70	0		1		1		1		1		1		1		1		1		1		1		1
2699	0049	*	1923	4	16			12.75	55.87	34	0		1	5	0		1	5.9	0	33.57	0		1		1		1		1		1		1		1		1		1		1		1
2699	0049	*	1923	4	16			12.75	55.87	34	0		1	10	0		1	5.9	0	33.98	0		1		1		1		1		1		1		1		1		1		1		1
2699	0049	*	1923	4	16			12.75	55.87	34	0		1	20	0		1	6.0	0	34.16	0		1		1		1		1		1		1		1		1		1		1		1
2699	0049	*	1923	4	16			12.75	55.87	34	0		1	34	0		1	6.0	0	34.29	0		1		1		1		1		1		1		1		1		1		1		1
2699	0057	*	1923	4	18			12.60	55.88	11	0		1	0	0		1	4.0	0	9.63	0		1		1		1		1		1		1		1		1		1		1		1
2699	0057	*	1923	4	18			12.60	55.88	11	0		1	11	0		1	5.5	0	31.64	0		1		1		1		1		1		1		1		1		1		1		1
2699	0106	*	1923	5	28			12.75	55.85	46	0		1	0	0		1	8.6	0	9.06	0	7.79	0		1		1		1		1		1		1		1	7.69	0		1		1
2699	0106	*	1923	5	28			12.75	55.85	46	0		1	5	0		1	8.6	0	9.09	0	7.80	0		1		1		1		1		1		1		1	7.69	0		1		1
2699	0106	*	1923	5	28			12.75	55.85	46	0		1	10	0		1	9.0	0	12.72	0	7.55	0		1		1		1		1		1		1		1	7.97	0		1		1
