Cruise	Station	Type	Year	Month	Day	Hour	Minute	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	QV:ODV:Bot Depth [m]	Secchi Depth [m]:METAVAR:FLOAT	QV:ODV:Secchi Depth [m]	Depth [m]	QV:ODV:Depth [m]	Pressure [dbar]	QV:ODV:Pressure [dbar]	Temperature [degC]	QV:ODV:Temperature [degC]	Practical Salinity [dmnless]	QV:ODV:Practical Salinity [dmnless]	Dissolved Oxygen [ml/l]	QV:ODV:Dissolved Oxygen [ml/l]
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	2	0		1	16.90	0	12.501	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	4	0		1	16.77	0	12.679	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	6	0		1	16.62	0	13.051	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	8	0		1	16.55	0	13.250	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	10	0		1	16.32	0	14.110	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	13	0		1	16.04	0	14.838	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	15	0		1	14.51	0	17.162	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	18	0		1	12.93	0	20.095	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	20	0		1	8.82	0	28.274	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	22	0		1	6.44	0	32.519	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	24	0		1	6.31	0	32.746	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	26	0		1	6.20	0	32.941	0		1
26DA	3033	*	1995	7	10	13	56	12.6967	55.9383	31	0		1	28	0		1	6.18	0	32.997	0		1
26HI	0003	*	1995	1	13	21	43	12.6583	55.9113	17	0		1	0	0		1	2.47	0	18.529	0		1
26HI	0003	*	1995	1	13	21	43	12.6583	55.9113	17	0		1	2	0		1	2.96	0	22.099	0		1
26HI	0003	*	1995	1	13	21	43	12.6583	55.9113	17	0		1	5	0		1	3.02	0	22.232	0		1
26HI	0003	*	1995	1	13	21	43	12.6583	55.9113	17	0		1	6	0		1	3.31	0	22.915	0		1
26HI	0003	*	1995	1	13	21	43	12.6583	55.9113	17	0		1	8	0		1	3.55	0	23.079	0		1
26HI	0003	*	1995	1	13	21	43	12.6583	55.9113	17	0		1	10	0		1	3.72	0	23.360	0		1
26HI	0003	*	1995	1	13	21	43	12.6583	55.9113	17	0		1	12	0		1	3.74	0	23.419	0		1
26HI	0003	*	1995	1	13	21	43	12.6583	55.9113	17	0		1	15	0		1	3.86	0	23.651	0		1
