Cruise	Station	Type	Year	Month	Day	Hour	Minute	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	QV:ODV:Bot Depth [m]	Depth [m]	QV:ODV:Depth [m]	Pressure [dbar]	QV:ODV:Pressure [dbar]	Temperature [degC]	QV:ODV:Temperature [degC]	Practical Salinity [dmnless]	QV:ODV:Practical Salinity [dmnless]	Dissolved Oxygen [ml/l]	QV:ODV:Dissolved Oxygen [ml/l]
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	1	0	1	0	6.91	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	1.5	0	1.5	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	2	0	2	0	6.91	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	2.5	0	2.5	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	3	0	3	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	3.5	0	3.5	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	4	0	4	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	4.5	0	4.5	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	5	0	5	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	5.4	0	5.5	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	6	0	6	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	6.4	0	6.5	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	7	0	7	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	7.4	0	7.5	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	8	0	8	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	8.4	0	8.5	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	9	0	9	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	9.4	0	9.5	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	10	0	10	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	10.4	0	10.5	0	6.92	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	11	0	11	0	6.93	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	11.4	0	11.5	0	6.93	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	12	0	12	0	6.93	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	12.4	0	12.5	0	6.93	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	13	0	13	0	6.93	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	13.4	0	13.5	0	6.93	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	14	0	14	0	6.93	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	14.4	0	14.5	0	6.93	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	15	0	15	0	6.93	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	15.4	0	15.5	0	6.93	0	6.36	0		1
