Cruise	Station	Type	Year	Month	Day	Hour	Minute	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	QV:ODV:Bot Depth [m]	Secchi Depth [m]:METAVAR:FLOAT	QV:ODV:Secchi Depth [m]	Depth [m]	QV:ODV:Depth [m]	Pressure [dbar]	QV:ODV:Pressure [dbar]	Temperature [degC]	QV:ODV:Temperature [degC]	Practical Salinity [dmnless]	QV:ODV:Practical Salinity [dmnless]	Dissolved Oxygen [ml/l]	QV:ODV:Dissolved Oxygen [ml/l]	Phosphate Phosphorus (PO4-P) [umol/l]	QV:ODV:Phosphate Phosphorus (PO4-P) [umol/l]	Total Phosphorus (P) [umol/l]	QV:ODV:Total Phosphorus (P) [umol/l]	Silicate Silicon (SiO4-Si) [umol/l]	QV:ODV:Silicate Silicon (SiO4-Si) [umol/l]	Nitrate Nitrogen (NO3-N) [umol/l]	QV:ODV:Nitrate Nitrogen (NO3-N) [umol/l]	Nitrite Nitrogen (NO2-N) [umol/l]	QV:ODV:Nitrite Nitrogen (NO2-N) [umol/l]	Ammonium Nitrogen (NH4-N) [umol/l]	QV:ODV:Ammonium Nitrogen (NH4-N) [umol/l]	Total Nitrogen (N) [umol/l]	QV:ODV:Total Nitrogen (N) [umol/l]	Hydrogen Ion Concentration (pH) [pH]	QV:ODV:Hydrogen Ion Concentration (pH) [pH]	Alkalinity [mEq/l]	QV:ODV:Alkalinity [mEq/l]	Chlorophyll a [ug/l]	QV:ODV:Chlorophyll a [ug/l]
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1		1	1	0	1	0	6.91	0	6.36	0		1		1		1		1		1		1		1		1		1		1		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1		1	5	0	5	0	6.92	0	6.36	0		1		1		1		1		1		1		1		1		1		1		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1		1	10	0	10	0	6.92	0	6.36	0		1		1		1		1		1		1		1		1		1		1		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1		1	15	0	15	0	6.93	0	6.36	0		1		1		1		1		1		1		1		1		1		1		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1		1	20	0	20	0	6.93	0	6.36	0		1		1		1		1		1		1		1		1		1		1		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1		1	25	0	25	0	6.94	0	6.36	0		1		1		1		1		1		1		1		1		1		1		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1		1	30	0	30	0	6.94	0	6.36	0		1		1		1		1		1		1		1		1		1		1		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1		1	33	0	33	0	7.06	0	6.39	0		1		1		1		1		1		1		1		1		1		1		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1		1	1	0	1	0	6.51	0	6.31	0		1		1		1		1		1		1		1		1		1		1		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1		1	5	0	5	0	6.55	0	6.30	0		1		1		1		1		1		1		1		1		1		1		1
