Cruise	Station	Type	Year	Month	Day	Hour	Minute	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	QV:ODV:Bot Depth [m]	Secchi Depth [m]:METAVAR:FLOAT	QV:ODV:Secchi Depth [m]	Depth [m]	QV:ODV:Depth [m]	Pressure [dbar]	QV:ODV:Pressure [dbar]	Temperature [degC]	QV:ODV:Temperature [degC]	Practical Salinity [dmnless]	QV:ODV:Practical Salinity [dmnless]	Dissolved Oxygen [ml/l]	QV:ODV:Dissolved Oxygen [ml/l]	Phosphate Phosphorus (PO4-P) [umol/l]	QV:ODV:Phosphate Phosphorus (PO4-P) [umol/l]	Total Phosphorus (P) [umol/l]	QV:ODV:Total Phosphorus (P) [umol/l]	Silicate Silicon (SiO4-Si) [umol/l]	QV:ODV:Silicate Silicon (SiO4-Si) [umol/l]	Nitrate Nitrogen (NO3-N) [umol/l]	QV:ODV:Nitrate Nitrogen (NO3-N) [umol/l]	Ammonium Nitrogen (NH4-N) [umol/l]	QV:ODV:Ammonium Nitrogen (NH4-N) [umol/l]	Total Nitrogen (N) [umol/l]	QV:ODV:Total Nitrogen (N) [umol/l]	Hydrogen Sulphide (H2S-S) [umol/l]	QV:ODV:Hydrogen Sulphide (H2S-S) [umol/l]	Hydrogen Ion Concentration (pH) [pH]	QV:ODV:Hydrogen Ion Concentration (pH) [pH]	Alkalinity [mEq/l]	QV:ODV:Alkalinity [mEq/l]	Chlorophyll a [ug/l]	QV:ODV:Chlorophyll a [ug/l]
26BI	0005	*	1943	6	8			8.942	56.908		1		1	0	0		1	14.80	0	28.59	0	5.90	0		1		1		1		1		1		1		1		1		1		1
26BI	0005	*	1943	6	8			8.942	56.908		1		1	3	0		1	14.80	0	28.59	0	6.29	0		1		1		1		1		1		1		1		1		1		1
26BI	0005	*	1943	6	8			8.942	56.908		1		1	7	0		1	14.83	0	28.70	0	5.68	0		1		1		1		1		1		1		1		1		1		1
26BI	0035	*	1943	6	10			9.025	56.862		1		1	0	0		1	15.57	0	27.92	0	6.04	0		1		1		1		1		1		1		1		1		1		1
26BI	0035	*	1943	6	10			9.025	56.862		1		1	4	0		1	15.28	0	28.84	0	5.86	0		1		1		1		1		1		1		1		1		1		1
26BI	0035	*	1943	6	10			9.025	56.862		1		1	8	0		1	15.20	0	29.96	0	5.82	0		1		1		1		1		1		1		1		1		1		1
26BI	0036	*	1943	6	10			9.040	56.887		1		1	0	0		1	15.70	0	27.34	0		1		1		1		1		1		1		1		1		1		1		1
26BI	0036	*	1943	6	10			9.040	56.887		1		1	4	0		1	15.30	0	27.83	0		1		1		1		1		1		1		1		1		1		1		1
26BI	0036	*	1943	6	10			9.040	56.887		1		1	8	0		1	14.77	0	29.16	0		1		1		1		1		1		1		1		1		1		1		1
26BI	0037	*	1943	6	10			9.050	56.920		1		1	0	0		1	15.87	0	27.95	0	5.99	0		1		1		1		1		1		1		1		1		1		1
26BI	0037	*	1943	6	10			9.050	56.920		1		1	3	0		1	15.85	0	27.94	0		1		1		1		1		1		1		1		1		1		1		1
26BI	0037	*	1943	6	10			9.050	56.920		1		1	6	0		1	15.30	0	28.04	0	5.98	0		1		1		1		1		1		1		1		1		1		1
26BI	0043	*	1943	6	10			9.140	56.922		1		1	0	0		1	15.95	0	27.74	0		1		1		1		1		1		1		1		1		1		1		1
26BI	0043	*	1943	6	10			9.140	56.922		1		1	3	0		1	15.93	0	27.74	0		1		1		1		1		1		1		1		1		1		1		1
26BI	0043	*	1943	6	10			9.140	56.922		1		1	6	0		1	14.97	0	28.78	0		1		1		1		1		1		1		1		1		1		1		1
