Cruise	Station	Type	Year	Month	Day	Hour	Minute	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	QV:ODV:Bot Depth [m]	Secchi Depth [m]:METAVAR:FLOAT	QV:ODV:Secchi Depth [m]	Depth [m]	QV:ODV:Depth [m]	Temperature [degC]	QV:ODV:Temperature [degC]	Practical Salinity [dmnless]	QV:ODV:Practical Salinity [dmnless]	Dissolved Oxygen [ml/l]	QV:ODV:Dissolved Oxygen [ml/l]
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	0.6	0	2.13	0	26.505	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	0.8	0	2.12	0	26.513	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	1	0	2.18	0	26.463	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	1.2	0	2.16	0	26.491	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	1.4	0	2.16	0	26.48	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	1.6	0	2.12	0	26.513	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	1.8	0	2.13	0	26.516	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	2	0	2.13	0	26.549	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	2.2	0	2.13	0	26.561	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	2.4	0	2.13	0	26.572	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	2.6	0	2.13	0	26.594	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	2.8	0	2.14	0	26.609	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	3	0	2.14	0	26.62	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	3.2	0	2.14	0	26.642	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	3.4	0	2.15	0	26.657	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	3.6	0	2.16	0	26.75	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	3.8	0	2.15	0	26.77	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	4	0	2.19	0	27.019	0	7.91	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	4.2	0	2.239	0	27.35	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	4.4	0	2.229	0	27.415	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	4.6	0	2.2	0	27.599	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	4.8	0	2.219	0	27.604	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	5	0	2.239	0	27.678	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	5.2	0	2.269	0	27.674	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	5.4	0	2.288	0	27.668	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	5.6	0	2.298	0	27.671	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	5.8	0	2.308	0	27.674	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	6	0	2.358	0	27.664	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	6.2	0	2.358	0	27.653	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	6.4	0	2.348	0	27.662	0	7.84	0
26vi	1037	*	2018	1	10	10	37	9.0563	56.9023	7	0		1	6.6	0	2.368	0	27.701	0	7.84	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	0.6	0	0.826	0	26.822	0	8.19	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	0.8	0	0.826	0	26.833	0	8.19	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	1	0	0.885	0	26.793	0	8.19	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	1.2	0	0.875	0	26.802	0	8.19	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	1.4	0	0.836	0	26.836	0	8.19	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	1.6	0	0.856	0	26.807	0	8.19	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	1.8	0	0.856	0	26.807	0	8.19	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	2	0	0.875	0	26.79	0	8.19	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	2.2	0	0.856	0	26.819	0	8.19	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	2.4	0	0.846	0	26.815	0	8.19	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	2.6	0	0.816	0	26.853	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	2.8	0	0.826	0	26.844	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	3	0	0.836	0	26.824	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	3.2	0	0.826	0	26.832	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	3.4	0	0.836	0	26.824	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	3.6	0	0.826	0	26.832	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	3.8	0	0.816	0	26.84	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	4	0	0.826	0	26.832	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	4.2	0	0.836	0	26.823	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	4.4	0	0.816	0	26.84	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	4.6	0	0.836	0	26.835	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	4.8	0	0.836	0	26.835	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	5	0	0.836	0	26.858	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	5.2	0	0.836	0	26.87	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	5.4	0	0.885	0	26.932	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	5.6	0	0.895	0	26.924	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	5.8	0	0.955	0	26.872	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	6	0	1.004	0	27.075	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	6.2	0	1.083	0	27.053	0	8.26	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	6.4	0	1.162	0	26.96	0	8.19	0
26vi	1050	*	2018	2	7	10	50	9.0563	56.9023	7	0		1	6.6	0	1.202	0	27.042	0	8.19	0
26vi	1117	*	2018	2	21	11	17	9.0563	56.9023	8	0		1	0.6	0	1.043	0	24.093	0	8.54	0
26vi	1117	*	2018	2	21	11	17	9.0563	56.9023	8	0		1	0.8	0	1.053	0	24.12	0	8.61	0
26vi	1117	*	2018	2	21	11	17	9.0563	56.9023	8	0		1	1	0	1.073	0	24.128	0	8.61	0
26vi	1117	*	2018	2	21	11	17	9.0563	56.9023	8	0		1	1.2	0	1.083	0	24.143	0	8.61	0
