Cruise	Station	Type	Year	Month	Day	Hour	Minute	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	QV:ODV:Bot Depth [m]	Depth [m]	QV:ODV:Depth [m]	Pressure [dbar]	QV:ODV:Pressure [dbar]	Temperature [degC]	QV:ODV:Temperature [degC]	Practical Salinity [dmnless]	QV:ODV:Practical Salinity [dmnless]	Dissolved Oxygen [ml/l]	QV:ODV:Dissolved Oxygen [ml/l]
34AR	0206	*	2011	7	13	10	16	19.1885	59.0958	54	0	1	0		1	17.1439	0	5.426	0	7.47	0
34AR	0206	*	2011	7	13	10	16	19.1885	59.0958	54	0	5	0		1	16.8158	0	5.424	0	7.43	0
34AR	0206	*	2011	7	13	10	16	19.1885	59.0958	54	0	10	0		1	11.3377	0	5.3472	0	7.86	0
34AR	0206	*	2011	7	13	10	16	19.1885	59.0958	54	0	15	0		1	6.6014	0	5.6246	0	8.06	0
34AR	0206	*	2011	7	13	10	16	19.1885	59.0958	54	0	20	0		1	4.93	0	5.91	0	8.27	0
34AR	0206	*	2011	7	13	10	16	19.1885	59.0958	54	0	30	0		1	4.402	0	6.6214	0	8.27	0
34AR	0206	*	2011	7	13	10	16	19.1885	59.0958	54	0	40	0		1	2.8156	0	7.0815	0	9.02	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	0.5	0	0.5	0	8.8784	0	5.7287	0	8.65	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	1	0	1	0	8.8639	0	5.729	0	8.62	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	1.5	0	1.5	0	8.8907	0	5.7279	0	8.61	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	2	0	2	0	8.8953	0	5.7273	0	8.57	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	2.5	0	2.5	0	8.8829	0	5.7278	0	8.50	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	3	0	3	0	8.8788	0	5.7281	0	8.56	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	3.5	0	3.5	0	8.8704	0	5.729	0	8.61	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	4	0	4	0	8.878	0	5.7274	0	8.63	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	4.5	0	4.5	0	8.7401	0	5.735	0	8.67	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	5	0	5	0	8.7222	0	5.7366	0	8.69	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	5.4	0	5.5	0	8.7208	0	5.7367	0	8.68	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	6	0	6	0	8.7142	0	5.737	0	8.68	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	6.4	0	6.5	0	8.6989	0	5.7376	0	8.67	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	7	0	7	0	8.6968	0	5.7381	0	8.64	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	7.4	0	7.5	0	8.6773	0	5.7381	0	8.65	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	8	0	8	0	8.6634	0	5.7387	0	8.69	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	8.4	0	8.5	0	8.6535	0	5.7392	0	8.68	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	9	0	9	0	8.6485	0	5.7388	0	8.65	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	9.4	0	9.5	0	8.6045	0	5.7392	0	8.71	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	10	0	10	0	8.5291	0	5.7481	0	8.80	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	10.4	0	10.5	0	8.4052	0	5.777	0	8.85	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	11	0	11	0	8.2459	0	5.8189	0	8.95	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	11.4	0	11.5	0	7.9948	0	5.8889	0	9.04	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	12	0	12	0	7.7439	0	5.957	0	9.08	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	12.4	0	12.5	0	7.4864	0	6.0168	0	9.12	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	13	0	13	0	7.2043	0	6.0853	0	9.11	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	13.4	0	13.5	0	7.1284	0	6.1145	0	9.13	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	14	0	14	0	6.9983	0	6.1621	0	9.00	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	14.4	0	14.5	0	6.9804	0	6.1788	0	8.89	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	15	0	15	0	6.6206	0	6.1968	0	8.80	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	15.4	0	15.5	0	6.5793	0	6.2102	0	8.72	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	16	0	16	0	6.5894	0	6.2197	0	8.67	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	16.3	0	16.5	0	6.6161	0	6.239	0	8.64	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	17	0	17	0	6.6256	0	6.2586	0	8.65	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	17.3	0	17.5	0	6.6396	0	6.2773	0	8.66	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	18	0	18	0	6.722	0	6.3143	0	8.67	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	18.3	0	18.5	0	6.7361	0	6.3299	0	8.69	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	19	0	19	0	6.7408	0	6.3385	0	8.71	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	19.3	0	19.5	0	6.7647	0	6.3545	0	8.69	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	20	0	20	0	6.7447	0	6.373	0	8.66	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	20.3	0	20.5	0	6.6491	0	6.3906	0	8.62	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	21	0	21	0	6.6188	0	6.412	0	8.60	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	21.3	0	21.5	0	6.6102	0	6.4255	0	8.59	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	22	0	22	0	6.6037	0	6.4282	0	8.56	0
34AR	0282	*	2016	5	22	10	24	19.1668	58.9318		1	22.3	0	22.5	0	6.5696	0	6.4381	0	8.59	0
